t,a
"Siméon Kotko, op. 81 : opéra en 5 actes et 7 tableaux / musique de Prokoviev ; Nicolai Gress, T (Siméon Kotko) ; Tamara Ianko, MS (La mère), Tamara Antipova (Frossia), MS ; L. Guelovani, S (Sonia)... [et al.] ; solistes, choeurs et orchestre dela Radio de l'URSS ; A. [i. e. M.] Joukov, dir.","Pančehin, Nicolaj (1901-....). Basse (voix)"
"Siméon Kotko, op. 81 : opéra en 5 actes et 7 tableaux / musique de Prokoviev ; Nicolai Gress, T (Siméon Kotko) ; Tamara Ianko, MS (La mère), Tamara Antipova (Frossia), MS ; L. Guelovani, S (Sonia)... [et al.] ; solistes, choeurs et orchestre dela Radio de l'URSS ; A. [i. e. M.] Joukov, dir.","Ostrovskij, Georgij. Ténor"
"Siméon Kotko, op. 81 : opéra en 5 actes et 7 tableaux / musique de Prokoviev ; Nicolai Gress, T (Siméon Kotko) ; Tamara Ianko, MS (La mère), Tamara Antipova (Frossia), MS ; L. Guelovani, S (Sonia)... [et al.] ; solistes, choeurs et orchestre dela Radio de l'URSS ; A. [i. e. M.] Joukov, dir.","Neverov, Leonid. Ténor"
"Siméon Kotko, op. 81 : opéra en 5 actes et 7 tableaux / musique de Prokoviev ; Nicolai Gress, T (Siméon Kotko) ; Tamara Ianko, MS (La mère), Tamara Antipova (Frossia), MS ; L. Guelovani, S (Sonia)... [et al.] ; solistes, choeurs et orchestre dela Radio de l'URSS ; A. [i. e. M.] Joukov, dir.","Lokšin, Arnolʹd. Basse (voix)"
"Siméon Kotko, op. 81 : opéra en 5 actes et 7 tableaux / musique de Prokoviev ; Nicolai Gress, T (Siméon Kotko) ; Tamara Ianko, MS (La mère), Tamara Antipova (Frossia), MS ; L. Guelovani, S (Sonia)... [et al.] ; solistes, choeurs et orchestre dela Radio de l'URSS ; A. [i. e. M.] Joukov, dir.","Kleŝeva, Antonina (1919-1970). Alto (voix)"
"Siméon Kotko, op. 81 : opéra en 5 actes et 7 tableaux / musique de Prokoviev ; Nicolai Gress, T (Siméon Kotko) ; Tamara Ianko, MS (La mère), Tamara Antipova (Frossia), MS ; L. Guelovani, S (Sonia)... [et al.] ; solistes, choeurs et orchestre dela Radio de l'URSS ; A. [i. e. M.] Joukov, dir.","Kiselëv, Mikhail Grigorʹevich (1911-....). Baryton (voix)"
"Siméon Kotko, op. 81 : opéra en 5 actes et 7 tableaux / musique de Prokoviev ; Nicolai Gress, T (Siméon Kotko) ; Tamara Ianko, MS (La mère), Tamara Antipova (Frossia), MS ; L. Guelovani, S (Sonia)... [et al.] ; solistes, choeurs et orchestre dela Radio de l'URSS ; A. [i. e. M.] Joukov, dir.","Žukov, Mihail Nikolaevič (1901-1960). Direction d'orchestre"
"Siméon Kotko, op. 81 : opéra en 5 actes et 7 tableaux / musique de Prokoviev ; Nicolai Gress, T (Siméon Kotko) ; Tamara Ianko, MS (La mère), Tamara Antipova (Frossia), MS ; L. Guelovani, S (Sonia)... [et al.] ; solistes, choeurs et orchestre dela Radio de l'URSS ; A. [i. e. M.] Joukov, dir.","Ânko, Tamara (1912-1988). Mezzo-soprano"
"Siméon Kotko, op. 81 : opéra en 5 actes et 7 tableaux / musique de Prokoviev ; Nicolai Gress, T (Siméon Kotko) ; Tamara Ianko, MS (La mère), Tamara Antipova (Frossia), MS ; L. Guelovani, S (Sonia)... [et al.] ; solistes, choeurs et orchestre dela Radio de l'URSS ; A. [i. e. M.] Joukov, dir.","Gelovani, Lûdmila. Soprano"
"Siméon Kotko, op. 81 : opéra en 5 actes et 7 tableaux / musique de Prokoviev ; Nicolai Gress, T (Siméon Kotko) ; Tamara Ianko, MS (La mère), Tamara Antipova (Frossia), MS ; L. Guelovani, S (Sonia)... [et al.] ; solistes, choeurs et orchestre dela Radio de l'URSS ; A. [i. e. M.] Joukov, dir.","Gresʹ, Nikolaj (1920-2003). Ténor"
"Siméon Kotko, op. 81 : opéra en 5 actes et 7 tableaux / musique de Prokoviev ; Nicolai Gress, T (Siméon Kotko) ; Tamara Ianko, MS (La mère), Tamara Antipova (Frossia), MS ; L. Guelovani, S (Sonia)... [et al.] ; solistes, choeurs et orchestre dela Radio de l'URSS ; A. [i. e. M.] Joukov, dir.","Dobrin, Boris. Baryton (voix)"
"Siméon Kotko, op. 81 : opéra en 5 actes et 7 tableaux / musique de Prokoviev ; Nicolai Gress, T (Siméon Kotko) ; Tamara Ianko, MS (La mère), Tamara Antipova (Frossia), MS ; L. Guelovani, S (Sonia)... [et al.] ; solistes, choeurs et orchestre dela Radio de l'URSS ; A. [i. e. M.] Joukov, dir.","Demʹânov, Daniil. Basse (voix)"
"Siméon Kotko, op. 81 : opéra en 5 actes et 7 tableaux / musique de Prokoviev ; Nicolai Gress, T (Siméon Kotko) ; Tamara Ianko, MS (La mère), Tamara Antipova (Frossia), MS ; L. Guelovani, S (Sonia)... [et al.] ; solistes, choeurs et orchestre dela Radio de l'URSS ; A. [i. e. M.] Joukov, dir.","Antipova, Tamara. Mezzo-soprano"
"Siméon Kotko, op. 81 : opéra en 5 actes et 7 tableaux / musique de Prokoviev ; Nicolai Gress, T (Siméon Kotko) ; Tamara Ianko, MS (La mère), Tamara Antipova (Frossia), MS ; L. Guelovani, S (Sonia)... [et al.] ; solistes, choeurs et orchestre dela Radio de l'URSS ; A. [i. e. M.] Joukov, dir.","Akademičeskij bol´šoj hor Mastera horogovo peniâ. Choeur mixte,"
"Siméon Kotko, op. 81 : opéra en 5 actes et 7 tableaux / musique de Prokoviev ; Nicolai Gress, T (Siméon Kotko) ; Tamara Ianko, MS (La mère), Tamara Antipova (Frossia), MS ; L. Guelovani, S (Sonia)... [et al.] ; solistes, choeurs et orchestre dela Radio de l'URSS ; A. [i. e. M.] Joukov, dir.","Bol'šoj simfoničeskij orkestr imeni P. I. Čajkovskogo. Orchestre,"
"Exposition et projection: Emigrés politiques allemands en URSS, victimes de la terreur stalinienne. Destins familiaux: 1933-1956","Vasile, Aurelia"
"L'évolution des modèles familiaux dans les pays de l'est européen et l'URSS. (IMSECO, 9-11janvier 1986)","Blum, Alain"
"L'évolution des modèles familiaux dans les pays de l'est européen et l'URSS. (IMSECO, 9-11janvier 1986)","Le Noir, Alain"
"L'évolution des modèles familiaux dans les pays de l'est européen et l'URSS. (IMSECO, 9-11janvier 1986)","BLUM, Alain"
"Une sortie contradictoire du stalinisme: la lente libération de la population, déportée des territoires occidentaux d'URSS","Blum, Alain"
"Une sortie contradictoire du stalinisme: la lente libération de la population, déportée des territoires occidentaux d'URSS","Le Noir, Alain"
"Une sortie contradictoire du stalinisme: la lente libération de la population, déportée des territoires occidentaux d'URSS","BLUM, Alain"
"Concerto pour violon et orchestre / André Echpai ; Edouard Gratch, violon, et le Grand Orchestre symphonique de la Radio de l'URSS dir. Eugène Svetlanov. Le petit cheval bossu : 1ère suite de ballet / Rodin Chedrine ; le Grand Orchestre symphonique de la Radio de l'U.R.S.S. dir. Alguis Juraitis","Èšpaj, Andrej Âkovlevič (1925-....). Auteur ou responsable intellectuel"
"Concerto pour violon et orchestre / André Echpai ; Edouard Gratch, violon, et le Grand Orchestre symphonique de la Radio de l'URSS dir. Eugène Svetlanov. Le petit cheval bossu : 1ère suite de ballet / Rodin Chedrine ; le Grand Orchestre symphonique de la Radio de l'U.R.S.S. dir. Alguis Juraitis","Ŝedrin, Rodion Konstantinovič (1932-....). Auteur ou responsable intellectuel"
"Concerto pour violon et orchestre / André Echpai ; Edouard Gratch, violon, et le Grand Orchestre symphonique de la Radio de l'URSS dir. Eugène Svetlanov. Le petit cheval bossu : 1ère suite de ballet / Rodin Chedrine ; le Grand Orchestre symphonique de la Radio de l'U.R.S.S. dir. Alguis Juraitis","Svetlanov, Evgenij Fëdorovič (1928-2002). Direction d'orchestre"
"Concerto pour violon et orchestre / André Echpai ; Edouard Gratch, violon, et le Grand Orchestre symphonique de la Radio de l'URSS dir. Eugène Svetlanov. Le petit cheval bossu : 1ère suite de ballet / Rodin Chedrine ; le Grand Orchestre symphonique de la Radio de l'U.R.S.S. dir. Alguis Juraitis","Juraitis, Alguis. Direction d'orchestre"
"Concerto pour violon et orchestre / André Echpai ; Edouard Gratch, violon, et le Grand Orchestre symphonique de la Radio de l'URSS dir. Eugène Svetlanov. Le petit cheval bossu : 1ère suite de ballet / Rodin Chedrine ; le Grand Orchestre symphonique de la Radio de l'U.R.S.S. dir. Alguis Juraitis","Gratch, Edouard. Violon"
"Concerto pour violon et orchestre / André Echpai ; Edouard Gratch, violon, et le Grand Orchestre symphonique de la Radio de l'URSS dir. Eugène Svetlanov. Le petit cheval bossu : 1ère suite de ballet / Rodin Chedrine ; le Grand Orchestre symphonique de la Radio de l'U.R.S.S. dir. Alguis Juraitis","Bol'šoj simfoničeskij orkestr imeni P. I. Čajkovskogo. Interprète,"
"Chants patriotiques de l'URSS / Maria Zaitseva, Vsevolod Poutchkov, Gorgei Babaiev, chant... [et al.]","Zaitseva, Maria. Chant"
"Chants patriotiques de l'URSS / Maria Zaitseva, Vsevolod Poutchkov, Gorgei Babaiev, chant... [et al.]","Vinogradov, Konstantin. Direction d'orchestre"
"Chants patriotiques de l'URSS / Maria Zaitseva, Vsevolod Poutchkov, Gorgei Babaiev, chant... [et al.]","Zaharov, Vladimir (1901-1956). Direction de choeur"
"Chants patriotiques de l'URSS / Maria Zaitseva, Vsevolod Poutchkov, Gorgei Babaiev, chant... [et al.]","Kazʹmin, Petr Mihajlovič (1892-1964). Direction de choeur"
"Chants patriotiques de l'URSS / Maria Zaitseva, Vsevolod Poutchkov, Gorgei Babaiev, chant... [et al.]","Pučkov, Vsevolod. Chant"
"Chants patriotiques de l'URSS / Maria Zaitseva, Vsevolod Poutchkov, Gorgei Babaiev, chant... [et al.]","Babaiev, Georgei. Chant"
"Chants patriotiques de l'URSS / Maria Zaitseva, Vsevolod Poutchkov, Gorgei Babaiev, chant... [et al.]","Aleksandrov, Boris Aleksandrovič (1905-1994). Direction de choeur"
"Chants patriotiques de l'URSS / Maria Zaitseva, Vsevolod Poutchkov, Gorgei Babaiev, chant... [et al.]","Nečaʹev, Vladimir. Chant"
"Chants patriotiques de l'URSS / Maria Zaitseva, Vsevolod Poutchkov, Gorgei Babaiev, chant... [et al.]","Bunčikov, Vladimir Aleksandrovič (1902-1995). Chant"
"Chants patriotiques de l'URSS / Maria Zaitseva, Vsevolod Poutchkov, Gorgei Babaiev, chant... [et al.]","Celikovskij, Vasilij. Direction de choeur"
"Chants patriotiques de l'URSS / Maria Zaitseva, Vsevolod Poutchkov, Gorgei Babaiev, chant... [et al.]","Vinogradov, Georgij Pavlovič (1908-1980). Chant"
"Chants patriotiques de l'URSS / Maria Zaitseva, Vsevolod Poutchkov, Gorgei Babaiev, chant... [et al.]","Ansamblʹ pesni i plâski Rossijskoj Armii imeni A. V. Aleksandrova. Choeur à voix égales,"
"Chants patriotiques de l'URSS / Maria Zaitseva, Vsevolod Poutchkov, Gorgei Babaiev, chant... [et al.]","Gosudarstvennyj russkij narodnyj hor imeni Pâtnickogo. Choeur mixte,"
"Chants patriotiques de l'URSS / Maria Zaitseva, Vsevolod Poutchkov, Gorgei Babaiev, chant... [et al.]","Vsesoûznoe radio i televidenie (Moscou). Ansambl. Ensemble vocal et instrumental,"
De la « maison commune européenne » à la désintégration du pacte de Varsovie... et à celle de l'URSS,"Lévesque, Jacques"
Temperatuurstabilisatie van een etsbad : het op constante temperatuur houden van een etsvloeistof met diodes als temperatuurssensoren,"Bokhoven, van, JWCT"
"Histoire sociale des idéologies contemporaines (Russie, URSS, monde germanique)","Scherrer, Jutta"
"Histoire sociale des idéologies contemporaines (Russie, URSS, monde germanique)","SCHERRER, Jutta"
"Histoire sociale des idéologies contemporaines (Russie, URSS, monde germanique)","SCHERRER, U."
"Histoire sociale des idéologies contemporaines (Russie, URSS, monde germanique)","Scherrer., Jutta"
La restructuration économique en URSS et les relations économiques internationales,"Aganbegyan, Abel G."
La restructuration économique en URSS et les relations économiques internationales,"Yang, G.A."
François Fejtö. Chine-URSS. La fin d'une hégémonie,"Schütze,"
L'URSS et l'Afrique noire sous Khrouchtchev : la mise à jour des mythes de la coopération,"Bartenev, Vladimir"
"""CCCP"". L’URSS fait t-shirt. Tentatives d’élucidation d’un code vestimentaire militant","Tartakowsky, Ewa"
URSS,"Dresch, Jean"
URSS,"Dresch., Jean"
URSS,"Dresch, Jean (1905-1994)"
"Semih Vaner, 'La Turquie entre l'Occident-Patron et le “ Grand voisin du Nord ”' in Zaïki Laïdi (sous la direction de), L'URSS vue du Tiers-Monde, Paris, Karthala, 1984, p. 95-120","BOGOR, Vladimir"
Évaluer les pertes matérielles de la population pendant la Deuxième Guerre mondiale en URSS : vers la légitimation de la propriété privée ?,"Moine, Nathalie"
Évaluer les pertes matérielles de la population pendant la Deuxième Guerre mondiale en URSS : vers la légitimation de la propriété privée ?,"MOINE, Nathalie"
Le 20e congrès du Parti communiste de l'URSS,"Carantino, Bernard"
Le 20e congrès du Parti communiste de l'URSS,"Zarnekau, Constantin"
Champion et politique. La fonction de komsorg dans les équipes nationales en URSS (1964-1982),"Dufraisse, Sylvain"
L'URSS face aux revendications du Tiers Monde : soutien de principe et intérêt mutuel,"Bosc, Robert"
Bilan comparatif de la crise en URSS et dans les six pays européens du CAEM: de la réalité à l'emphase théorique,"Andreff, Wladimir"
Bilan comparatif de la crise en URSS et dans les six pays européens du CAEM: de la réalité à l'emphase théorique,"Wladimir, Andreff"
Bilan comparatif de la crise en URSS et dans les six pays européens du CAEM: de la réalité à l'emphase théorique,"ANDREFF, Wladimir"
Bilan comparatif de la crise en URSS et dans les six pays européens du CAEM: de la réalité à l'emphase théorique,"Andreff, W."
L'URSS et l'Amérique latine pendant la guerre froide,"Abtour, Georges-Henri"
"CNRS-CFEETK 156995. Karnak, KIU 4135 / Temple d’Opet, , Kiosque, Porte, Tableaux extérieursSud (Opet 15 haut, droite) Ptolemees / Ptolemee Neos Dionysos","Soubias Ph.,"
"Ex-URSS, CEI","Catherine, De Montlibert"
"Ex-URSS, CEI","Montlibert, Catherine de"
"Ex-URSS, CEI","de Montlibert, Catherine"
"Minassian, Chaké. 1978. Les politiques culturelles en URSS. Montréal, P.U.Q., Coll. « textes et études slaves », 414 p.","Andrès, Bernard"
L'énergie en URSS,"Commeau-Rufin, Irène"
Le renouveau islamique en URSS,"Roy, Olivier"
"Maurice Friedberg et Hayward Isham (ed.), Soviet Society under Gorbachev J.-M. Chauvier, L'URSS, une société en mouvement","Marc, Ferro"
"PAMJATNIKI I DOKUMENTY IZ DER-EL'- MEDINA, KHRANJASCIESJA V MUZEJAKH SSSR (= MONUMENTS ET DOCUMENTS DE DER EL- MEDINA CONSERVES DANS LES MUSEES D'URSS. EN RUSSE)","BOGOSLOVSKIJ, E. S."
"La science médicale en URSS / Conférence de Jean Dalsace, 15 février 1945","Dalsace, Jean (1893-1970)"
6. Parler de soi au parti : L’autocritique dans les milieux du Komintern en urss durant les années trente,"Unfried, Berthold"
L'aide économique et technique de l'URSS aux pays sous-développés,"Skorov, G."
"Carrière, Pierre (1984) L’économie de l’URSS. Paris, Masson, 3e édition, 274 p.","Piette, Christine"
L’URSS contre ses traîtres. L’Épuration soviétique (1941-1955),"Voisin, Vanessa"
L'URSS et la guerre d'octobre,"D'encausse, Hélène Carrère"
URSS et Europe de l'Est,"Isabelle, Cordonnier"
URSS et Europe de l'Est,"Cordonnier, Isabelle"
L'Etat et les classes sociales en URSS 1929-1933,"Lewin, Moshe"
L'Etat et les classes sociales en URSS 1929-1933,"Lewin, Moshé"
L'Etat et les classes sociales en URSS 1929-1933,"LEWIN, Moshe"
L'Etat et les classes sociales en URSS 1929-1933,"Lewin, Moshe (1921-2010)"
"4/6/25, M. et Mme Krassine inaugurent le pavillon de l'URSS [à l'exposition des arts décoratifs] : [photographie de presse] / [Agence Rol]","Agence Rol. Agence photographique,"
"Jacques Sapir. Retour sur l'URSS. Economie, société, histoire","Catherine, De Montlibert"
"Jacques Sapir. Retour sur l'URSS. Economie, société, histoire","Montlibert, Catherine de"
"Jacques Sapir. Retour sur l'URSS. Economie, société, histoire","de Montlibert, Catherine"
Les entreprises russes et le développement industriel avant et après l'URSS,"Peaucelle, Irina"
"Schrieber, Thomas et CEDUCEE (Sous la direction de), L’URSS et l’Europe de l’Est. Éditions 1986, Paris, La Documentation Française, Coll. « Notes et Études Documentaires », no 4817, 1986, 260 p.","Gosselin, Guy"
"UKAZATEL'LITERATURY PO ISTORII ANTICNOGO MIRA, OPUBLIKOVANNOJ V SSSR V 1975 G. (= INVENTAIRE DES PUBLICATIONS RELATIVES A L'HISTOIRE DE L'ANTIQUITE PARUES EN URSS EN 1975: EN RUSSE)","BORSC, I. E."
Russie-URSS-Russie,"Sapir, Jacques"
Russie-URSS-Russie,"SAPIR, Jacques"
Russie-URSS-Russie,"Sapir, jacques"
Les conséquences migratoires de la Seconde guerre mondiale : déportations en URSS et dans les pays d’Europe orientale,"Blum, Alain"
Les conséquences migratoires de la Seconde guerre mondiale : déportations en URSS et dans les pays d’Europe orientale,"Le Noir, Alain"
Les conséquences migratoires de la Seconde guerre mondiale : déportations en URSS et dans les pays d’Europe orientale,"BLUM, Alain"
Les conséquences migratoires de la Seconde guerre mondiale : déportations en URSS et dans les pays d’Europe orientale,"Ablazhey, Natalia"
"Fesbach.(M.), Friendly (A.) — Ecocide in the URSS. Health and nature under siege","Ch, Jc"
"Etats-Unis, URSS, Allemagne, Europe : problèmes graves, réponses frivoles","Hassner, Pierre"
"Etats-Unis, URSS, Allemagne, Europe : problèmes graves, réponses frivoles","Pierre, Hassner"
"Etats-Unis, URSS, Allemagne, Europe : problèmes graves, réponses frivoles","HASSNER, Pierre"
"Etats-Unis, URSS, Allemagne, Europe : problèmes graves, réponses frivoles","Hassner, P."
Le contrôle URSSAF et ses conséquences,"Taquet, François"
"CONCERTO N °1 POUR PIANO ET ORCHESTRE EN RE MINEUR / Jean-Sébastien BACH ; Sviatoslav RICHTER, piano, et l'Orchestre Symphonique de l'URSS ; dir. R. BARCHAI. CONCERTO N °2 POUR DEUX PIANOS ET ORCHESTRE EN UT MAJEUR / Jean-Sébastien BACH ; Sviatoslav RICHTER et Anatoli VEREDNIKOV, pianos et l'Orchestre ; de chambre de Moscou dir. R. BARCHAI","Bach, Johann Sebastian (1685-1750). Auteur ou responsable intellectuel"
"CONCERTO N °1 POUR PIANO ET ORCHESTRE EN RE MINEUR / Jean-Sébastien BACH ; Sviatoslav RICHTER, piano, et l'Orchestre Symphonique de l'URSS ; dir. R. BARCHAI. CONCERTO N °2 POUR DEUX PIANOS ET ORCHESTRE EN UT MAJEUR / Jean-Sébastien BACH ; Sviatoslav RICHTER et Anatoli VEREDNIKOV, pianos et l'Orchestre ; de chambre de Moscou dir. R. BARCHAI","Verednikov, Anatoli. Piano"
"CONCERTO N °1 POUR PIANO ET ORCHESTRE EN RE MINEUR / Jean-Sébastien BACH ; Sviatoslav RICHTER, piano, et l'Orchestre Symphonique de l'URSS ; dir. R. BARCHAI. CONCERTO N °2 POUR DEUX PIANOS ET ORCHESTRE EN UT MAJEUR / Jean-Sébastien BACH ; Sviatoslav RICHTER et Anatoli VEREDNIKOV, pianos et l'Orchestre ; de chambre de Moscou dir. R. BARCHAI","Rihter, Svâtoslav Teofilovič (1915-1997). Piano"
"CONCERTO N °1 POUR PIANO ET ORCHESTRE EN RE MINEUR / Jean-Sébastien BACH ; Sviatoslav RICHTER, piano, et l'Orchestre Symphonique de l'URSS ; dir. R. BARCHAI. CONCERTO N °2 POUR DEUX PIANOS ET ORCHESTRE EN UT MAJEUR / Jean-Sébastien BACH ; Sviatoslav RICHTER et Anatoli VEREDNIKOV, pianos et l'Orchestre ; de chambre de Moscou dir. R. BARCHAI","Barshai, Rudolf Borisovich (1924-2010). Direction d'orchestre"
"CONCERTO N °1 POUR PIANO ET ORCHESTRE EN RE MINEUR / Jean-Sébastien BACH ; Sviatoslav RICHTER, piano, et l'Orchestre Symphonique de l'URSS ; dir. R. BARCHAI. CONCERTO N °2 POUR DEUX PIANOS ET ORCHESTRE EN UT MAJEUR / Jean-Sébastien BACH ; Sviatoslav RICHTER et Anatoli VEREDNIKOV, pianos et l'Orchestre ; de chambre de Moscou dir. R. BARCHAI","Gosudarstvennyj akademičeskij kameryj orkestr Rossii. Interprète,"
"CONCERTO N °1 POUR PIANO ET ORCHESTRE EN RE MINEUR / Jean-Sébastien BACH ; Sviatoslav RICHTER, piano, et l'Orchestre Symphonique de l'URSS ; dir. R. BARCHAI. CONCERTO N °2 POUR DEUX PIANOS ET ORCHESTRE EN UT MAJEUR / Jean-Sébastien BACH ; Sviatoslav RICHTER et Anatoli VEREDNIKOV, pianos et l'Orchestre ; de chambre de Moscou dir. R. BARCHAI","Gosudarstvennyj simfoničeskij orkestr SSSR. Interprète,"
"Semih Vaner. ""La Turquie entre l 'Occident-Patron et le 'Grand Voisin du Nord' "", in Naki Laidi (sous la direction de), L'URSS vue du Tiers-monde, 1984, p. 95-120","V., Bogor"
"Groupe de professeurs de l'Institut de recherche de pédagogie générale de l'URSS, ""Nekotorye obsceteoreticeskie problemy burzaznoj pedagogiki (1917-1939)"" [Quelques problèmes théoriques généraux de la pédagogie bourgeoise], in : Sovetskaja Pedagogika, N° 12, 1976, Moscou, -pp. 119-129","Poindron, Denise"
Ex-URSS : la contre-révolution russe,"Lussac, Samuel"
Ex-URSS,"Catherine, De Montlibert"
Russie/URSS : le discours national russe comme mémoire et refus,"Paillard, Denis"
Le mythe de l'unification des alphabets en URSS dans les années 1920-1930,"Simonato-Kokochkina, Elena"
Association France-URSS (Paris),"Ricour, Jean"
Association France-URSS (Paris),"Association France-URSS,"
L'année 1956 en URSS: Quelques aspects de la recherche récente,"Elie, Marc"
L'année 1956 en URSS: Quelques aspects de la recherche récente,"Élie, Marc"
"Politique du temps, régime d’historicité et subjectivité en URSS","Anastasoaie, Marian Viorel"
La politique étrangère de l'URSS après Khrouchtchev,"Mosely, Philip E."
La politique étrangère de l'URSS après Khrouchtchev,"Association, Foreign Policy"
"UKAZATEL'LITERATURY PO ISTORII ANCTICNOGO MIRA, OPUBLIKOVANNOJ V SSSR V.1977 G. (= INVENTAIRE DES PUBLICATIONS RELATIVES A L'HISTOIRE DU MONDE ANTIQUE, PARUES EN URSS EN 1977; EN RUSSE)","BORSC, I. E."
Neues Münz- Maas- und Courssystem der Republik Frankreich : als Supplement zu Samuel Christoph Bunzels neuen kaufmännischen Rechenbuch,"Bunzel, Samuel Christoph"
"GÉLARD, Patrice, L'administration locale en URSS, PUF (Dossiers Thémis), Paris, 1972, 95p. + documents, tables, bibliographie.","Bovet, Ludmila"
Conf * Trajectoires des combattants et ex-combattants ex-URSS * 20 avril 2017,"Jossin, Ariane"
"« Kto naš, kto ne naš » Théorie et pratiques de la citoyenneté à l'égard des populations conquises : Le cas des Polonais en URSS, 1939-1946","Gousseff, Catherine"
"Peindre et vivre en URSS dans les années 1920-1930 : Commandes, engagements sous contrat et missions de création","Pichon-Bonin, Cécile"
Jacques Levesque. L'URSS en Afghanistan. De l'invasion au retrait,"Anne, De Tinguy"
Jacques Levesque. L'URSS en Afghanistan. De l'invasion au retrait,"Anne, de Tinguy"
Jacques Levesque. L'URSS en Afghanistan. De l'invasion au retrait,"Claire-Anne, De Chazelles"
Jacques Levesque. L'URSS en Afghanistan. De l'invasion au retrait,"Anne, de Mathan"
Jacques Levesque. L'URSS en Afghanistan. De l'invasion au retrait,"Anne, De Saulce"
Histoire de l'URSS,"Graziosi, Andrea"
Romain Rolland et l’URSS : engagement politique et vision cosmique dans L’Annonciatrice,"Roudil , Roland"
Romain Rolland et l’URSS : engagement politique et vision cosmique dans L’Annonciatrice,"Roudil, Roland"
"Paris, Exposition internationale des arts et techniques dans la vie moderne de 1937, le Pavillon de l'URSS","Auteur, inconnu"
Vues historiques sur la population de l'URSS,"Pressat, Roland"
Vues historiques sur la population de l'URSS,"PRESSAT, Roland"
Commerce et transition vers le marché dans l'ex-URSS : questions-clés,"Sapir, Andre"
Commerce et transition vers le marché dans l'ex-URSS : questions-clés,"Sapir, André"
Commerce et transition vers le marché dans l'ex-URSS : questions-clés,"SAPIR, André"
Commerce et transition vers le marché dans l'ex-URSS : questions-clés,"Pisani-ferry, Jean"
Commerce et transition vers le marché dans l'ex-URSS : questions-clés,"Pisani-Ferry, Jean"
Commerce et transition vers le marché dans l'ex-URSS : questions-clés,"PISANI-FERRY, Jean"
Commerce et transition vers le marché dans l'ex-URSS : questions-clés,"Ferry, Jean Pisani-"
"Radvanyi (Jean), 1990. — L'URSS Régions et nations","Bernard, Bomer"
La politique extérieure des anciens satellites de l’URSS. Le cas de la RDA : première approche,"Jardin, Pierre"
Informer en URSS (1917-1991),"Nerard, François-Xavier"
Informer en URSS (1917-1991),"Nérard, François-Xavier"
Informer en URSS (1917-1991),"NERARD, François-Xavier"
Informer en URSS (1917-1991),"Michaud Nérard, François"
Informer en URSS (1917-1991),"NÉRARD, François-Xavier"
"Les fonds photographiques de l'association France-URSS : fonds traités par Annette Melot, enseignante de russe et collaboratrice au Musée d'histoire contemporaine, modérée par Irène Paillard","Paillard, Irène"
"Les fonds photographiques de l'association France-URSS : fonds traités par Annette Melot, enseignante de russe et collaboratrice au Musée d'histoire contemporaine, modérée par Irène Paillard","Melot-Henry, Annette"
La lutte finale : l'URSS dans le débat politique et intellectuel en France de 1975 à 1991,"Chauvin, Hervé"
Répertoire des fonds d'archives privées dans les dépôts d'État de l'URSS,"Vildé-Lot, Irène"
L'émigration des Juifs d'URSS et son incidence sur la politique israélienne,"Munnich, Laurent"
Pékin et l'Asie centrale après la fin de l'URSS,"Becquelin, Nicolas"
Le bilan céréalier de l'URSS et de l'Europe orientale à l'horizon 1980,"Beaucourt, Ch."
"Déséquilibires, endettement et ajustement au sein du CAEM : Quelels relations entre l’URSS et ses partenaires européens? (Note)","MATEJKA, Harriet"
"Déséquilibires, endettement et ajustement au sein du CAEM : Quelels relations entre l’URSS et ses partenaires européens? (Note)","Matejka, Harriet"
"Trois defis pour la nouvelle Turquie : le gouvernement Demirel entre les difficultes economiques, le probleme kurde et l'Europe sans URSS","FONTAINE, Andre"
Jean-Pierre Clerc et Paul lorcète. Le duel USA-URSS dans l'espace. Guerre des étoiles : l'Europe entre les deux Grands,"Klein,"
Thomas Schreiber (dir.). L'URSS et l'Europe de l'Est,"Angelica, Edzard-Karolyi"
Dictionnaire des nationalités et des minorités de l'ex-URSS (2e édition) / Roger Caratini,"Caratini, Roger (1924-2009). Auteur du texte"
Le Vatican et l'URSS en 1941 / Léon PAPELEUX.,"Paul, Cloché"
Le Vatican et l'URSS en 1941 / Léon PAPELEUX.,"Cloché, Paul"
Le Vatican et l'URSS en 1941 / Léon PAPELEUX.,"CLOCHE, PAUL"
Le Vatican et l'URSS en 1941 / Léon PAPELEUX.,"Cloché, P."
Marie-Agnès Crosnier Jean Gueit et Anne de Tinguy. Les années Gorbatchev. L' URSS de 1985 1991,"Catherine, De Montlibert"
Marie-Agnès Crosnier Jean Gueit et Anne de Tinguy. Les années Gorbatchev. L' URSS de 1985 1991,"Montlibert, Catherine de"
Marie-Agnès Crosnier Jean Gueit et Anne de Tinguy. Les années Gorbatchev. L' URSS de 1985 1991,"de Montlibert, Catherine"
L'intégration des recrues de l'ex-URSS dans les armées étrangères contemporaines,"OpenEdition,"
Les pêches de l’URSS dans l’Atlantique du Nord-Est et l’élargissement des zones de pêche exclusive,"Carré, François"
"Maria Zalambani, Censura, istituzioni e politica letteraria in URSS (1964‑1985)","Koustova, Emilia"
Jules Moch. L'URSS les yeux ouverts,"H., De La B."
Les « petits procès exemplaires » en URSS durant la Grande Terreur (1937-1938),"WERTH, Nicolas"
