t,a
"Géologie de la Russie d'Europe et des montagnes de l'Oural. Vol. II. Troisième partie, Paléontologie ([Reprod.]) / ....b.fre.par Roderick Impey Murchison,... Edouard de Verneuil,... et le comte Alexandre de Keyserling,...","Verneuil, Édouard de (1805-1873)"
Mises en scène d'une identité non slave de Russie : le théâtre komi dans un monde russe en mutation,"Cagnoli, Sébastien"
Russie d'Europe,"Greth, Karine"
Note de conjoncture Russie 2016 02,"Vercueil, Julien"
Note de conjoncture Russie 2016 02,"VERCUEIL, JULIEN"
Union européenne - Russie : une relation particulière ?,"Fontanel, Jacques"
Le Séjour du Physiocrate Lemercier de la Rivière en Russie (1767-1768),"Bernard, Herencia"
L'économie du potager en biélorussie et en russie,"Hervouet, Ronan"
"Nadine Marie-Schwartzenberg, La Russie du crime","Favarel-Garrigues, Gilles"
"Nadine Marie-Schwartzenberg, La Russie du crime","FAVAREL-GARRIGUES, Gilles"
"Russie : dix ans de migrations, reflets d'un monde en transition","Tinguy, Anne de"
"Russie : dix ans de migrations, reflets d'un monde en transition","TINGUY, Anne"
"Russie : dix ans de migrations, reflets d'un monde en transition","De Tinguy, Anne"
"Russie : dix ans de migrations, reflets d'un monde en transition","TINGUY, Anne de"
"Russie : dix ans de migrations, reflets d'un monde en transition","de Tinguy, Anne"
"Russie : dix ans de migrations, reflets d'un monde en transition","Tinguy, Anne De"
"Russie : dix ans de migrations, reflets d'un monde en transition","Tinguy Anne, De"
Écrits personnels. Russie XVIIIe-XXe siècles,"Hellbeck, Jochen"
Écrits personnels. Russie XVIIIe-XXe siècles,"BOUVARD, Josette"
Écrits personnels. Russie XVIIIe-XXe siècles,"Savkina, Irina"
Écrits personnels. Russie XVIIIe-XXe siècles,"Griesse, Malte"
Union européenne - Russie : une relation particulière ?,"Sur, Serge"
Union européenne - Russie : une relation particulière ?,"Serge, Sur"
"Eurasie : Russie : Caucase : Caucase du Nord : République de Karatchaïévo-Tcherkessie : Vallée du Kouban en aval de Teberda, vue en direction du Nord","Radvanyi, Jean"
"Eurasie : Russie : Caucase : Caucase du Nord : République de Karatchaïévo-Tcherkessie : Vallée du Kouban en aval de Teberda, vue en direction du Nord","RADVANYI, Jean"
Travaux et publications parus en français en 1971 sur la Russie et l'URSS [Domaine des sciences sociales],"Seydoux, Marianne"
Fêtes des Tuileries donnée par l'Empereur et l'Impératrice à LL. MM. l'Empereur de Russie et le Roi de Prusse : [estampe],"Blanchard, P."
Fêtes des Tuileries donnée par l'Empereur et l'Impératrice à LL. MM. l'Empereur de Russie et le Roi de Prusse : [estampe],"Blanchard, P.. Illustrateur"
Fêtes des Tuileries donnée par l'Empereur et l'Impératrice à LL. MM. l'Empereur de Russie et le Roi de Prusse : [estampe],"Blanchard, P.. Graveur"
"Traimond Véra, Architecture de la Russie ancienne, tome I : Xe-XVe siècles, tome II : XVe-XVIIe siècles","Élisabeth, Teiro"
"Traimond Véra, Architecture de la Russie ancienne, tome I : Xe-XVe siècles, tome II : XVe-XVIIe siècles","Teiro, Élisabeth"
"Traimond Véra, Architecture de la Russie ancienne, tome I : Xe-XVe siècles, tome II : XVe-XVIIe siècles","TEIRO, Élisabeth"
"Traimond Véra, Architecture de la Russie ancienne, tome I : Xe-XVe siècles, tome II : XVe-XVIIe siècles","Teiro, Elisabeth"
